committee,daon,decentruth,seenfeed
55.28647036,208.80031523,527.6694050180001,384.516356465
54.61974583500001,213.533101942,538.8017604130001,392.72801235
55.156215341000006,217.972008266,550.1703884710001,401.074622635
58.464436426000006,222.513010652,561.6338376530001,409.55708223500005
59.611454228,227.040597787,572.9202115290001,418.22056432400007
59.01125854300001,231.574433943,584.3488149610001,426.5530672340001
59.421232239000005,235.988041902,595.4076038980002,435.19002707900006
63.34256831500001,240.443020465,606.5137753320001,443.441361757
64.17735482,244.761705258,618.0705587030002,451.839230341
63.58211666900001,249.267277864,629.1139951170002,460.46057163
63.809214868000005,253.619853851,640.0041794850001,468.237870606
67.90059919400001,257.974749139,651.6103386740001,477.028598179
68.51715488800001,262.011363998,663.1413012930001,485.30638669
67.885492197,266.172093665,675.307630515,493.961982885
68.189254969,270.769598075,686.859145357,502.241096087
72.25795587500001,275.15164027,698.708309272,510.395397775
73.05381902500001,279.50704752,710.0216847969999,518.744594581
72.447947654,284.05391630699995,721.5775586689999,526.985997275
72.660221034,288.50909595,733.052767402,535.3139233820001
76.79754091800001,292.974050366,744.372480442,543.9739052390001
77.661343681,297.372094863,756.201522112,551.9881368040002
76.754250141,302.112943258,768.14898872,560.1293449080002
76.999341723,306.886954894,779.476612714,568.5839739870003
81.43606839600001,311.422480438,791.152167889,576.7865343920002
81.909838553,315.693121247,802.882559251,585.3277217390003
81.256112717,320.382255989,814.32218676,593.8588250700003
81.444897164,325.066791121,825.706068411,602.5790182580004
85.981697213,329.750426054,837.180012055,610.8766562130004
86.398604191,334.224796644,848.750937371,619.3815324150004
85.829145555,338.791262811,860.579006114,627.8304950270003
86.09749646899999,343.41084018899994,872.255530131,636.1618361500003
90.377071235,347.79781579199994,883.601617453,644.7072178360004
90.73350247,352.175175611,894.8983405390001,652.6026614090003
90.402620355,356.4987235559999,907.058800859,660.9484951850003
90.488469343,361.0069883619999,919.288750463,669.0949076590003
95.12631681,365.4744705849999,931.117404397,677.6950669380003
95.347238745,369.6632772339999,942.70487085,686.3438081040003
94.810595525,374.0701993549999,953.8665680200002,694.9016609700003
94.88017035,378.9406223889999,965.5230941550002,703.2676007510003
99.621835143,383.2439883039999,976.6137475140002,711.9011420260002
99.831858779,387.787917978,988.0123394440002,720.0232284140002
99.270978889,392.429727807,999.6973287130002,728.4453373540002
99.32483421,396.761416858,1011.137454573,736.5744845530003
104.0476224,401.020208109,1022.450157912,745.1059632990002
104.456665365,405.8082190939999,1033.77258455,753.4584890240002
103.840983294,410.446953872,1045.1170521320005,761.9048483810002
103.429199683,414.8953662849999,1056.4807236010004,770.4034468840002
108.600618802,419.1669193849999,1067.7696421840003,778.9012300550003
109.047006597,423.476436326,1078.8298331090002,787.1640403120002
108.55542579,427.9471101099999,1090.2438869820005,795.9664298810002
107.850984468,432.5716096239999,1101.5216207370004,804.2858272230002
113.239259934,436.9870038209999,1112.4418175770004,812.9433451320002
113.852270891,441.4183565049999,1124.0450176380004,821.0524120870002
112.941442703,445.8691040029999,1135.8478262440003,829.4330868590002
112.322948068,450.13935507299993,1147.2906544050006,837.5925790910003
117.713940529,454.82930322499993,1158.5062126340006,845.8704525620003
118.389739968,459.180207757,1170.4138139900006,854.4101219290003
117.35820622,463.649386516,1181.9262567370006,863.0884579610002
116.593764121,467.805651011,1193.1610206610003,871.6630554470003
122.224698084,472.561396224,1204.5425617870003,880.2103684710003
122.715255372,477.201909106,1215.7893862530004,888.7442262700002
121.766904922,481.757331521,1226.9290381330004,897.2629108470003
121.030372692,486.227684897,1238.2598514810004,905.2669501280004
126.490259493,490.902904356,1249.7533181830004,913.7192582890004
127.031247632,495.637858399,1260.6420408800004,922.4749302200004
126.038436186,500.143789867,1271.7498680260005,930.8209969890004
125.53158880399998,504.646964321,1282.8043557240003,939.2821598680003
130.92140655699998,509.034745818,1294.3239184920003,947.6459269980004
131.391932767,513.664756456,1305.1198145000003,956.0329137850003
130.596509161,518.093999921,1317.0530731410006,964.7797840250004
129.890543816,522.673693614,1328.3507433460006,972.9930047840004
135.29309745499998,527.139400609,1339.6131820740006,980.9712314610003
135.96860981600005,531.8438566,1350.8912767290003,989.3025896650004
135.199040733,536.4482562219999,1362.1746869350006,997.9234598200004
134.16159663899998,540.8540251789999,1373.7020804890003,1006.6145041140004
139.741316927,545.5987301729999,1384.8246454110006,1014.9126760860004
140.27957320400003,550.053082263,1395.9945485190003,1023.2574000410004
139.716556515,554.358503552,1407.370599397001,1031.7286577090003
138.728359956,558.80396016,1418.4284454260007,1039.9766930600003
144.17958785099998,563.158343048,1430.1256992160008,1048.2579313250003
144.72599801700002,567.616955513,1441.3966538930008,1056.6343205870005
144.038104322,572.1570527169999,1452.7725570720008,1064.9778800570002
143.502027191,576.743446096,1464.5573841410007,1073.0043735810002
148.41992591399998,581.143621338,1475.5447235850008,1081.2158074390002
149.13444656200002,585.810065192,1486.556354307001,1089.2328768810005
148.524507233,590.0383695200001,1497.997222161001,1097.8289932850005
148.04146034299998,594.657537247,1509.0116532410009,1106.1609489830005
153.06434807799997,599.0379736650001,1520.140266672001,1114.7033375140002
153.659202009,603.5119942740001,1531.540912414001,1122.9993704330002
153.10565125300002,607.8937527700001,1542.604427633001,1131.257891501
152.50842383999998,612.0749141470001,1554.013352520001,1139.252583414
157.67064648199997,616.481070938,1565.690810964001,1147.883081027
158.546271775,620.821370254,1576.564759149001,1156.177197933
157.49875961100005,625.385126041,1587.874687276001,1164.288710919
157.05472921099997,629.783620919,1599.6365552430009,1172.795984178
162.46545462399996,634.209602907,1611.3982652930008,1181.439168742
162.76990418600002,638.814664988,1622.9463259810009,1189.769097296
162.15932161800004,643.21558476,1634.179735981001,1198.209032619
161.54892481699997,647.580555087,1645.3789546500009,1206.052049431
166.86042121899996,651.8379398339999,1656.4406459270008,1214.8099094370002
