time,handled_num,q_len,comId
414756,6230,13770,0
414761,6230,13770,0
414766,6230,13770,0
414771,6230,13770,0
414776,6230,13770,0
414781,6230,13770,0
414786,6230,13770,0
414791,6230,13770,0
414796,6230,13770,0
414801,6230,13770,0
414806,6230,13770,0
414811,6230,13770,0
414816,6230,13770,0
414821,6230,13770,0
414826,6230,13770,0
414831,6230,13770,0
414836,6230,13770,0
414841,6230,13770,0
414846,6230,13770,0
414851,6230,13770,0
414856,6230,13770,0
414861,6230,13770,0
414866,6231,13769,0
414871,6231,13769,0
414876,6232,13768,0
414881,6232,13768,0
414886,6232,13768,0
414891,6233,13767,0
414896,6233,13767,0
414901,6233,13767,0
414906,6233,13767,0
414911,6233,13767,0
414916,6234,13766,0
414921,6234,13766,0
414926,6235,13765,0
414931,6235,13765,0
414936,6235,13765,0
414941,6236,13764,0
414946,6237,13763,0
414951,6238,13762,0
414956,6238,13762,0
414961,6239,13761,0
414966,6239,13761,0
414971,6239,13761,0
414976,6239,13761,0
414981,6239,13761,0
414986,6239,13761,0
414991,6239,13761,0
414996,6239,13761,0
415001,6239,13761,0
415006,6239,13761,0
415011,6240,13760,0
415016,6240,13760,0
415021,6240,13760,0
415026,6240,13760,0
415031,6240,13760,0
415036,6240,13760,0
415041,6240,13760,0
415046,6240,13760,0
415051,6240,13760,0
415056,6240,13760,0
415061,6240,13760,0
415066,6240,13760,0
415071,6240,13760,0
415076,6240,13760,0
415081,6240,13760,0
415086,6240,13760,0
415091,6240,13760,0
415096,6240,13760,0
415101,6240,13760,0
415106,6240,13760,0
415111,6240,13760,0
415116,6240,13760,0
415121,6240,13760,0
415126,6240,13760,0
415131,6240,13760,0
415136,6240,13760,0
415141,6240,13760,0
415146,6240,13760,0
415151,6240,13760,0
415156,6240,13760,0
415161,6240,13760,0
415166,6240,13760,0
415171,6240,13760,0
415176,6240,13760,0
415181,6240,13760,0
415186,6240,13760,0
415191,6240,13760,0
415196,6240,13760,0
415201,6240,13760,0
415206,6240,13760,0
415211,6240,13760,0
415216,6240,13760,0
415221,6240,13760,0
415226,6240,13760,0
415231,6240,13760,0
415236,6240,13760,0
415241,6240,13760,0
415246,6240,13760,0
415251,6240,13760,0
415256,6240,13760,0
415261,6240,13760,0
415266,6240,13760,0
415271,6240,13760,0
415276,6240,13760,0
415281,6240,13760,0
415286,6240,13760,0
415291,6240,13760,0
415296,6240,13760,0
415301,6240,13760,0
415306,6240,13760,0
415311,6240,13760,0
415316,6240,13760,0
415321,6240,13760,0
415326,6240,13760,0
415331,6240,13760,0
415336,6240,13760,0
415341,6240,13760,0
415346,6240,13760,0
415351,6240,13760,0
415356,6240,13760,0
415361,6240,13760,0
415366,6240,13760,0
415371,6240,13760,0
415376,6240,13760,0
415381,6240,13760,0
415386,6240,13760,0
415391,6240,13760,0
415396,6240,13760,0
415401,6240,13760,0
415406,6240,13760,0
415411,6240,13760,0
415416,6240,13760,0
415421,6240,13760,0
415426,6240,13760,0
